imageshack.us,208.94.3.19
nifty.com,222.158.213.148
softonic.com,35.227.231.218
mywebsearch.com,74.113.233.48
tianya.cn,124.225.65.154
cnn.com,151.101.193.67
alipay.com,110.75.129.5
walmart.com,161.170.230.170
hp.com,15.73.104.147
partypoker.com,195.72.135.96
zynga.com,54.148.147.56
hotfile.com,18.207.9.28
youdao.com,61.135.218.30
ebay.de,66.135.201.153
kugou.com,14.18.236.182
jp.msn.com,13.88.15.24
odnoklassniki.ru,5.61.23.11
pconline.com.cn,219.136.245.40
qiyi.com,101.227.188.172
paipai.com,
orkut.com.br,
about.com,151.101.65.121
rakuten.co.jp,133.237.61.176
ku6.com,117.50.1.222
tmall.com,140.205.130.99
sogou.com,118.191.216.57
paypal.com,64.4.250.37
fc2.com,52.33.182.156
56.com,101.227.173.126
xunlei.com,119.188.108.240
pps.tv,101.227.188.174
ebay.com,66.211.160.86
windows.com,40.112.72.205
hao123.com,220.181.163.1
apple.com,17.142.160.59
sohu.com,221.179.177.36
yahoo.co.jp,182.22.59.229
tudou.com,106.11.47.19
4399.com,118.184.184.70
go.com,23.236.60.174
cnet.com,64.30.228.118
mail.ru,217.69.139.201
myspace.com,63.135.90.70
yandex.ru,5.255.255.88
bbc.co.uk,151.101.0.81
goo.ne.jp,153.254.147.65
ifeng.com,210.51.19.63
wordpress.com,192.0.78.9
hotmail.com,204.79.197.212
amazon.com,176.32.98.166
163.com,123.58.180.8
soso.com,118.191.216.42
sina.com.cn,123.126.157.222
bing.com,13.107.21.200
taobao.com,140.205.220.96
qq.com,111.161.64.40
microsoft.com,13.77.161.179
blogspot.com,172.217.1.73
baidu.com,220.181.57.216
msn.com,13.82.28.61
wikipedia.org,208.80.153.224
live.com,204.79.197.212
yahoo.com,98.137.246.8
youtube.com,172.217.1.78
facebook.com,157.240.2.35
wmfo.org,23.92.21.128
andysayler.com,138.197.228.157
sdjjdsaf.com,
youku.com,106.11.47.20
mozilla.com,63.245.208.194
twitter.com,104.244.42.65
adobe.com,193.104.215.58
ask.com,151.101.42.114
aol.com,124.108.115.87
imdb.com,52.94.225.248
dailymotion.com,195.8.215.136
linkedin.com,108.174.10.10
amazon.co.jp,52.119.168.48
4shared.com,204.155.149.43
flickr.com,69.147.88.7
naver.com,210.89.160.88
ameblo.jp,72.247.114.130
skype.com,40.115.34.155
orkut.com,216.239.34.21
seesaa.net,143.204.31.12
ehow.com,23.227.11.12
mediafire.com,104.19.194.29
photobucket.com,209.17.68.100
2345.com,42.62.30.180
7k7k.com,101.200.128.82
daum.net,211.231.99.80
rapidshare.com,5.9.19.105
answers.com,151.101.128.203
vkontakte.ru,95.213.4.229
blogger.com,172.217.1.73
livedoor.jp,203.104.153.16
renren.com,120.133.2.241
megaupload.com,
alibaba.com,198.11.132.23
soku.com,106.11.186.25
weather.com,23.79.192.175
craigslist.org,208.82.237.226
360.cn,101.198.193.22
